Order_type|Inbound_order|Inbound_item|Store_id|StorageLocation|ItemCode|Qty|UOM|PO_NUMBER|PO_ITEM|DELIV_DATE|HEADER_TEXT|ITEM_TEXT|VBN|MANU_DATE|EXPR_DATE|Remarks1|Remarks2|Remarks3
O|0180176058|000010|0056|0001|MTHR20/A/15|3|PC|2000051233|000010|20210318||||||||
O|0180176058|000020|0056|0001|MTHR03/A/M|3|PC|2000051233|000020|20210318||||||||
O|0180176058|000030|0056|0001|MTA14/A/9|5|PC|2000051233|000030|20210318||||||||
O|0180176058|000040|0056|0001|MTA07/A/M|3|PC|2000051233|000040|20210318||||||||
O|0180176058|000050|0056|0001|MTA09/A/7|4|PC|2000051233|000050|20210318||||||||
O|0180176058|000060|0056|0001|MTHR02/A/M|2|PC|2000051233|000060|20210318||||||||
O|0180176058|000070|0056|0001|COMICS119/D/L|4|PC|2000051233|000070|20210318||||||||
O|0180176058|000080|0056|0001|SPDRHR05/A/7|5|PC|2000051233|000080|20210318||||||||
O|0180176058|000090|0056|0001|AVGN407/D/S|2|PC|2000051233|000090|20210318||||||||
O|0180176058|000100|0056|0001|SPDRN285/D/L|3|PC|2000051233|000100|20210318||||||||
O|0180176058|000110|0056|0001|SPDRN295/NV/A/M|3|PC|2000051233|000110|20210318||||||||
O|0180176058|000120|0056|0001|MSMA256/D/XL|5|PC|2000051233|000120|20210318||||||||
O|0180176058|000130|0056|0001|AVGS087/A/S|5|PC|2000051233|000130|20210318||||||||
O|0180176058|000140|0056|0001|AVGS087/A/M|4|PC|2000051233|000140|20210318||||||||
O|0180176058|000150|0056|0001|AVGS087/A/L|5|PC|2000051233|000150|20210318||||||||
O|0180176058|000160|0056|0001|AVGS087/A/5|5|PC|2000051233|000160|20210318||||||||
O|0180176058|000170|0056|0001|AVGS087/A/7|5|PC|2000051233|000170|20210318||||||||
O|0180176058|000180|0056|0001|AVGS087/A/9|5|PC|2000051233|000180|20210318||||||||
O|0180176058|000190|0056|0001|AVGS087/A/11|5|PC|2000051233|000190|20210318||||||||
O|0180176058|000200|0056|0001|AVGS087/A/13|5|PC|2000051233|000200|20210318||||||||
