Order_type|Inbound_order|Inbound_item|Store_id|StorageLocation|ItemCode|Qty|UOM|PO_NUMBER|PO_ITEM|DELIV_DATE|HEADER_TEXT|ITEM_TEXT|VBN|MANU_DATE|EXPR_DATE|Remarks1|Remarks2|Remarks3
O|0180170466|000010|0056|0001|MCJYPL03/GY/25|6|PC|2000049731|000010|20201226||||||||
O|0180170466|000020|0056|0001|MCJYPL03/GY/26|6|PC|2000049731|000020|20201226||||||||
O|0180170466|000030|0056|0001|MCJYPL03/GY/27|6|PC|2000049731|000030|20201226||||||||
O|0180170466|000040|0056|0001|MCJYPL03/GY/28|6|PC|2000049731|000040|20201226||||||||
O|0180170466|000050|0056|0001|MCJYPL03/GY/29|6|PC|2000049731|000050|20201226||||||||
O|0180170466|000060|0056|0001|MCJYPL03/GY/30|6|PC|2000049731|000060|20201226||||||||
O|0180170466|000070|0056|0001|MCJYPL03/NV/25|3|PC|2000049731|000070|20201226||||||||
O|0180170466|000080|0056|0001|MCJYPL03/NV/26|3|PC|2000049731|000080|20201226||||||||
O|0180170466|000090|0056|0001|MCJYPL03/NV/27|2|PC|2000049731|000090|20201226||||||||
O|0180170466|000100|0056|0001|MCJYPL03/NV/28|3|PC|2000049731|000100|20201226||||||||
O|0180170466|000110|0056|0001|MCJYPL03/NV/29|3|PC|2000049731|000110|20201226||||||||
O|0180170466|000120|0056|0001|MCJYPL03/NV/30|3|PC|2000049731|000120|20201226||||||||
O|0180170466|000130|0056|0001|MCMKJ09/BK/25|3|PC|2000049731|000130|20201226||||||||
O|0180170466|000140|0056|0001|MCMKJ09/BK/26|3|PC|2000049731|000140|20201226||||||||
O|0180170466|000150|0056|0001|MCMKJ09/BK/27|3|PC|2000049731|000150|20201226||||||||
O|0180170466|000160|0056|0001|MCMKJ09/BK/28|3|PC|2000049731|000160|20201226||||||||
O|0180170466|000170|0056|0001|MCMKJ09/BK/29|3|PC|2000049731|000170|20201226||||||||
O|0180170466|000180|0056|0001|MCMKJ09/BK/30|3|PC|2000049731|000180|20201226||||||||
O|0180170466|000190|0056|0001|MCMKJ09/NV/25|3|PC|2000049731|000190|20201226||||||||
O|0180170466|000200|0056|0001|MCMKJ09/NV/26|3|PC|2000049731|000200|20201226||||||||
O|0180170466|000210|0056|0001|MCMKJ09/NV/27|3|PC|2000049731|000210|20201226||||||||
O|0180170466|000220|0056|0001|MCMKJ09/NV/28|3|PC|2000049731|000220|20201226||||||||
O|0180170466|000230|0056|0001|MCMKJ09/NV/29|3|PC|2000049731|000230|20201226||||||||
O|0180170466|000240|0056|0001|MCMKJ09/NV/30|3|PC|2000049731|000240|20201226||||||||
O|0180170466|000250|0056|0001|MCMKJ15/BK/25|3|PC|2000049731|000250|20201226||||||||
O|0180170466|000260|0056|0001|MCMKJ15/BK/26|3|PC|2000049731|000260|20201226||||||||
O|0180170466|000270|0056|0001|MCMKJ15/BK/27|3|PC|2000049731|000270|20201226||||||||
O|0180170466|000280|0056|0001|MCMKJ15/BK/28|3|PC|2000049731|000280|20201226||||||||
O|0180170466|000290|0056|0001|MCMKJ15/BK/29|3|PC|2000049731|000290|20201226||||||||
O|0180170466|000300|0056|0001|MCMKJ15/BK/30|3|PC|2000049731|000300|20201226||||||||
O|0180170466|000310|0056|0001|MNFYMJ01/GY/19|4|PC|2000049731|000310|20201226||||||||
O|0180170466|000320|0056|0001|MNFYMJ01/GY/20|4|PC|2000049731|000320|20201226||||||||
O|0180170466|000330|0056|0001|MNFYMJ01/GY/21|4|PC|2000049731|000330|20201226||||||||
O|0180170466|000340|0056|0001|MNFYMJ01/GY/22|4|PC|2000049731|000340|20201226||||||||
O|0180170466|000350|0056|0001|MNFYMJ01/GY/23|4|PC|2000049731|000350|20201226||||||||
O|0180170466|000360|0056|0001|MNFYMJ01/GY/24|4|PC|2000049731|000360|20201226||||||||
O|0180170466|000370|0056|0001|MNFYMJ01/PK/19|4|PC|2000049731|000370|20201226||||||||
O|0180170466|000380|0056|0001|MNFYMJ01/PK/20|4|PC|2000049731|000380|20201226||||||||
O|0180170466|000390|0056|0001|MNFYMJ01/PK/21|4|PC|2000049731|000390|20201226||||||||
O|0180170466|000400|0056|0001|MNFYMJ01/PK/22|4|PC|2000049731|000400|20201226||||||||
O|0180170466|000410|0056|0001|MNFYMJ01/PK/23|4|PC|2000049731|000410|20201226||||||||
O|0180170466|000420|0056|0001|MNFYMJ01/PK/24|4|PC|2000049731|000420|20201226||||||||
O|0180170466|000430|0056|0001|MNHXT56/PK/25|2|PC|2000049731|000430|20201226||||||||
O|0180170466|000440|0056|0001|MNHXT56/PK/26|2|PC|2000049731|000440|20201226||||||||
O|0180170466|000450|0056|0001|MNHXT56/PK/27|2|PC|2000049731|000450|20201226||||||||
O|0180170466|000460|0056|0001|MNHXT56/PK/28|2|PC|2000049731|000460|20201226||||||||
O|0180170466|000470|0056|0001|MNHXT56/PK/29|2|PC|2000049731|000470|20201226||||||||
O|0180170466|000480|0056|0001|MNHXT56/PK/30|2|PC|2000049731|000480|20201226||||||||
O|0180170466|000490|0056|0001|MNJYPL04/DTPK/25|6|PC|2000049731|000490|20201226||||||||
O|0180170466|000500|0056|0001|MNJYPL04/DTPK/26|6|PC|2000049731|000500|20201226||||||||
O|0180170466|000510|0056|0001|MNJYPL04/DTPK/27|6|PC|2000049731|000510|20201226||||||||
O|0180170466|000520|0056|0001|MNJYPL04/DTPK/28|6|PC|2000049731|000520|20201226||||||||
O|0180170466|000530|0056|0001|MNJYPL04/DTPK/29|6|PC|2000049731|000530|20201226||||||||
O|0180170466|000540|0056|0001|MNJYPL04/DTPK/30|6|PC|2000049731|000540|20201226||||||||
O|0180170466|000550|0056|0001|MNJYPL04/NV/25|4|PC|2000049731|000550|20201226||||||||
O|0180170466|000560|0056|0001|MNJYPL04/NV/26|4|PC|2000049731|000560|20201226||||||||
O|0180170466|000570|0056|0001|MNJYPL04/NV/27|4|PC|2000049731|000570|20201226||||||||
O|0180170466|000580|0056|0001|MNJYPL04/NV/28|4|PC|2000049731|000580|20201226||||||||
O|0180170466|000590|0056|0001|MNJYPL04/NV/29|4|PC|2000049731|000590|20201226||||||||
O|0180170466|000600|0056|0001|MNJYPL04/NV/30|4|PC|2000049731|000600|20201226||||||||
O|0180170466|000610|0056|0001|MNMKJ14/BK/25|2|PC|2000049731|000610|20201226||||||||
O|0180170466|000620|0056|0001|MNMKJ14/BK/26|3|PC|2000049731|000620|20201226||||||||
O|0180170466|000630|0056|0001|MNMKJ14/BK/27|3|PC|2000049731|000630|20201226||||||||
O|0180170466|000640|0056|0001|MNMKJ14/BK/28|3|PC|2000049731|000640|20201226||||||||
