ARTICLE CODE|DESCRIPTION|BRAND|BRAND DESCRIPTION|BAR CODE (EAN)|PROFIT CENTER|PROFIT CENTER DESCRIPTION|ARTICLE TYPE|ARTICLE TYPE DESCRIPTION|CATEGORY|CATEGORY DESCRIPTION|SUB CATEGORY|SUB CATEGORY DESCRIPTION|MERCHANDISE CATEGORY|MERCHANDISE CATEGORY DESCRIPTION|RETAIL PRICE|CURRENCY|ACTIVE STATUS|STORE ID|STORE DESCRIPTION|COUNTRY|REMARKS 1|REMARKS 2|REMARKS 3
10035737|BVF LE GEMME MEN EDP 10ML OF 3 COFFRET|BVF|BVLGARI|2050000457470|BVF45|BVLGARI LE GEMME MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9050|SALES GIRL GIFT|0|IDR|N|||ID|FC00||
40100|BVF JN L ESS EDP 50ML PS|BVF|BVLGARI|783320401008|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9060|PRE-SERIES|0|IDR|N|||ID|FC00||
40101|BVF JN ELIXIR EDP 50ML|BVF|BVLGARI|783320401015|BVF19|BVLGARI JASMIN NOIR|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|1565000|IDR|Y|||ID|FC00||
40102|BVF MJN ELIXIR EDP 50ML|BVF|BVLGARI|783320401022|BVF22|BVLGARI MON JASMIN NOIR|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|1565000|IDR|Y|||ID|FC00||
40201|BVF MJN JEWEL CHARM EDP 25ML|BVF|BVLGARI|783320402012|BVF22|BVLGARI MON JASMIN NOIR|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|810000|IDR|Y|||ID|FC00||
40206|BVF PF JEWEL CHARM EDP 25ML|BVF|BVLGARI|783320402067|BVF17|BVLGARI FOR WOMEN|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|810000|IDR|Y|||ID|FC00||
40209|BVF WOMEN EDP 30ML|BVF|BVLGARI|783320402098|BVF17|BVLGARI FOR WOMEN|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|830000|IDR|Y|||ID|FC00||
40211|BVF MJN EDP 50ML|BVF|BVLGARI|783320402111|BVF22|BVLGARI MON JASMIN NOIR|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|1385000|IDR|Y|||ID|FC00||
40233|BVF PF PARFUM EDT 100ML TS|BVF|BVLGARI|783320402333|BVF17|BVLGARI FOR WOMEN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40238|BVF PF EDP 100ML TS|BVF|BVLGARI|783320402388|BVF17|BVLGARI FOR WOMEN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
